host_response_time,host_response_rate,host_is_superhost,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating,distance_from_syntagma
within an hour,100%,t,37.97708,23.74285,Entire home/apt,2,1.5,1.0,103.0,4.93,0.71863293982353
within an hour,100%,t,37.98322,23.71017,Entire home/apt,2,1.0,1.0,72.0,4.87,2.3313178142074875
within an hour,100%,f,37.98343,23.73923,Entire home/apt,2,1.0,1.0,95.0,4.84,0.9599784215900712
within an hour,100%,t,37.97836,23.70879,Entire home/apt,6,2.0,2.0,106.0,4.88,2.3105410190450058
within an hour,100%,t,37.98894,23.73873,Entire home/apt,2,1.5,0.0,41.0,4.83,1.5316947995662054
within an hour,100%,f,37.98768,23.72126,Entire home/apt,2,1.0,1.0,53.0,4.73,1.8064981713859565
within an hour,100%,t,37.95958,23.72467,Entire home/apt,4,1.0,0.0,33.0,4.82,1.9844144691508683
within an hour,100%,t,37.98742,23.73689,Entire home/apt,2,1.0,0.0,81.0,4.9,1.3368696975001535
within an hour,100%,t,37.99433,23.74989,Private room,2,1.0,1.0,38.0,4.93,2.4718216664158073
within an hour,100%,f,37.97235,23.74366,Entire home/apt,4,1.0,1.0,42.0,4.75,0.8439646182758755
within an hour,100%,t,37.97709,23.745,Entire home/apt,2,1.0,0.0,73.0,4.65,0.9027581368337425
within an hour,100%,t,37.98729,23.74312,Entire home/apt,2,1.0,0.0,53.0,4.67,1.4959033477364723
within an hour,100%,f,37.98115,23.73551,Entire home/apt,4,1.0,1.0,109.0,4.92,0.6305222611064917
within a few hours,100%,f,37.98258590698242,23.752315521240234,Entire home/apt,5,1.0,2.0,130.0,5.0,1.7177921245477232
within a few hours,100%,t,37.984822,23.7359202,Entire home/apt,3,1.0,1.0,67.0,4.96,1.0404086565565485
within a few hours,70%,f,37.96538,23.74292,Entire home/apt,6,2.0,2.0,65.0,4.65,1.3268450851898872
,,f,37.9634,23.72275,Entire home/apt,2,1.0,1.0,83.0,4.89,1.7159872987110947
within a day,100%,f,37.99214,23.74923,Entire home/apt,3,2.0,2.0,107.0,4.98,2.236261045057646
within an hour,100%,t,37.9674,23.72522,Entire home/apt,5,1.0,2.0,82.0,4.79,1.2374193390136317
within an hour,100%,t,37.96427,23.72065,Entire home/apt,4,1.0,1.0,56.0,4.87,1.7662512732390803
